Internal Demand 50.000000 Opt Batch Size 10.000000 MTBF 160.000000 MTTR 2.000000 
Replication    aOrder   aInternalOrder    aExternalOrder     aOrderQty   aOrderDemand   aType   aTimeIn   aTimeOut 

      1        6       0      1      1      0      0      0      2
      1        1       1      0      10      50      0      0      2
      1        7       0      1      3      0      0      0      3
      1        8       0      1      1      0      0      1      4
      1        9       0      1      2      0      0      1      5
      1        10       0      1      2      0      0      2      6
      1        2       1      0      10      50      0      0      8
      1        3       1      0      10      50      0      0      9
      1        4       1      0      10      50      0      0      11
      1        5       1      0      10      50      0      0      11
